Cluster ID,Label,Top Terms,Num Reviews,Verified Ratio,Examples
9,Unknown,"sweat, shirt, shirts, work, br, pads, like, product, works, great",56,0.86,"Didn’t help. Did nothing for my teenage son that suffers from overactive sweat glands
---
Worth a try. But didn't help.. Still sweated through undershirt and khaki uniform sleeves by 8:30 am. Maybe even made it worse.
---
Does not work!!. First off? Let me start by saying that, the idea is awesome! I really had thought this product would work. I sweat profusely and work in HR. I wear different color dress shirts and sit in the back of meetings because of the sweat stains on my shirt. I declined botox injections to stop the sweating. Was recommend this product and gave it a try. It did NOT work in a sense of keeping my color dress shirt dry. The sweat stains were still noticeable and made no difference wearing the Thompson  sweat proof technology shirt. Definitely not worth the money. However, the concept is good. Needs more work!"
10,Unknown,"shirt, like, pads, uncomfortable, sweat, armpits, arms, br, comfortable, feels",22,1.0,"Good idea...poor execution!. It feels like you're wearing pads under your arm pits. Won't buy again. Not comfortable and the shirt is nothing more than an average cotton t-shirt.
---
Not worth it. I have worn this maybe 10 times and the elastic is already coming apart. The ties in the back are also short and the scarf often comes undone while I’m wearing it.
---
Totally not worth it. It felt super uncomfortable under the armpits, even with the focus of the shirt being there. It was like putting cardboard underneath your arms."
11,Unknown,"stars, fit, fits, stars fit, stars fits, nice, stars nice, expected, stars tight, tight",19,1.0,"Three Stars. I ordered the small shirt, but it turned out to be bigger than I expected, next I'll try xs
---
Three Stars. Tight fit...
---
Three Stars. tight fit"
12,Unknown,"stars, comfortable, stars comfortable, warm, fit, husband, stars warm, loves, great, wear",42,0.9,"Two Stars. The pads under the arms are super noisy and bulky.
---
Three Stars. Good idea, need a little more development to keep pads in place and smaller
---
Three Stars. The pads under the arms are a little too thick and noticeable."
13,Unknown,"stars, ok, stars ok, little, stars little, small, work, quality, product, tight",27,0.96,"Two Stars. THEY SEEM TO BE GOOD PRODUCT, BUT STILL HAVE GLARE
---
Two Stars. They are alright they suite their purpose but pinch my pinky toes
---
Three Stars. Returned it because it was too large"
14,Unknown,"stars, good, stars good, fine, gift, great, stars fine, stars gift, stars great, love",29,1.0,"Four Stars. Jeff Bezos buys election results and more H1-B visas through his ownership of Amazon and the Washington Post.
---
Four Stars. Good
---
Four Stars. a little early to tell"
15,Unknown,"stars, size, small, like, really, work, good, hard, stars good, stars hard",18,0.94,"Two Stars. Pattern is not as vivid on actual product
---
Two Stars. At least a size smaller than it was supposed to be.
---
Two Stars. Pictures were inaccurate on the site. trying to return them."
16,Unknown,"star, returned, small, large, star large, size, buy, wide, star buy, big",32,1.0,"One Star. I returned this product, no adjustably.
---
One Star. Not true to size at all.
---
One Star. Boot was not wide enough"
17,Unknown,"shoe, wear, sloggers, shoes, work, slip, fit, pair, garden, br",16,1.0,"Defective. I enjoy these sloggers shoes very much and have had several pairs in the past.  however, my right shoe has developed a<br />creek noise when I walked so I am disappointed in the shoe.
---
Too bad they squeak. Good to use on the yard, but they squeak loudly so I cannot go shopping with them on a rainy day.
---
Escape from LA. I wear clogs most of the time and they always try to escape, so I told them once they slip away and don't come back."
18,Unknown,"socks, thicker, bit, expected, wear, thinner, quality, thicker expected, like, shoes",30,1.0,"Not the thickness and quality I was expecting for the price.. I'm rather frustrated by the quality of these socks.  After seeing so many stunning reviews, I opted to take a chance on these.  They are not the quality I was expecting.  I'm starting to get significant wear after just one use, and they seem to run a little small...  Compared to SmartWool or LLBean wool socks, these are about half as good.  I wouldn't recommend purchasing these.
---
Low quality, thin socks. These are just not it. They are made of a very low quality fabric that is thin and feels like my grandpa's old worn out socks from 15 years ago. The slouch is not cute because of how thin the fabric is, and it looks nothing like the photo. These are not warm and not cozy at all. For this price I expected some cushy, soft, thick socks to wear in the winter. These are not it. If you want something like these, find some worn out mens socks a few sizes too large for you.
---
They also are much thinner and are not very cushiony like they were before. I purchased these socks in 2016 and the quality had dropped off significantly.  After wearing the socks for only one day there was significant wear on the socks.  They also are much thinner and are not very cushiony like they were before.  Regret purchase"
19,Unknown,"leather, quality, product, shoes, 34, reebok, used, fit, man, shoe",16,0.94,"Disappointed. I returned them. I used to wear Reeboks when I worked. Soft leather and comfortable. These were stiff and tight and uncomfortable.
---
... longer leather they are synthetic leather which doesn't breath like the real leather did also they are longer in .... These shoes are now longer leather they are synthetic leather which doesn't breath like the real leather did also they are longer in the toe area save your money & buy a pair that is real leather.
---
Poor Quality--Not Leather. Disappointed, returned shoes.  Order a new pair after old one finally gave out.  They were not leather, poorly made and much more narrow than my other pair.  Shoes were made in Vietnam, old ones were made in Thailand.  Will not order reebok classic princess brand from anyone.  Wish I had read the reviews before I bought them."
20,Unknown,"reebok, shoe, princess, love, fit, comfortable, quality, years, like, shoes",29,0.83,"Not the same Princess. I ordered the Princess since I've previously owned the Reebok shoe by the same name.  Reebok has changed the shoe and, since it is made in Vietnam does not fit properly, is uncomfortable, and of less quality.  I returned for refund and would not order again.
---
Won’t buy Reebok again until they sell 99% fit. Love Reebok but they run small. Went with sketchers. They offered more stability for my foot!! Reebok felt like my foot was going to tip over! They did not fit well at all. I tried two different sizes. One larger than the other. Returned both. Now UPS has no record of return!! OMG!! Help!!
---
I'm Returning These. These are nothing like the Reebok Princess I have worn and loved for years other than that they look like them.  Originally the  Princess was a nice leather;  I thought  I could tolerate the artificial leather they're using now.  But in addition to the disappearance of leather  there is no arch support, and the heel area is not lined with terry cloth, a detail that made my others very comfortable."
21,Unknown,"soft, cotton, socks, comfortable, soft soft, feel, like, love, soft socks, br",30,0.93,"Soft and comfortable but poor quality.. I bought 4 pairs of these socks about a year and half ago. And quite honestly, I'm disappointed with the quality.<br />I don't really do anything extreme with them, yet they started thinning out at the heel. Some of them are so thin that they have holes in them.<br />I'm attaching a picture as reference.<br /><br />The socks are soft and comfortable, just wish the quality was better.
---
Not worth the money. Not worth the money. Yes they are soft but after 2 washings they are not durable and shrunk
---
Materials feel cheap, not cotton-y. Do not like, knitting too open. Don’t feel cottony. Cheap"
22,Unknown,"toe, blisters, toes, big, horrible, br, pinky, pinky toe, blister, box",15,0.93,"No. Killed my pinky toe!! I did purchase two different sizes and they were horrible.
---
Hope you like blisters. So to be honest i wasn’t expecting too much from these boots. First feel they were trendy looking but pretty clunky and heavy. After day one i had a blister which is fine but my feet were so water logged it was painful. There was no breathing to them at all. I get it waterproof boots don’t breathe as well but these things don’t breathe at all period. Day two another blister same spot other foot. i could already feel the soles giving in with no support. The toe box was so uncomfortable to be frank these may have been defective because if they were supposed to be that tight in the toe box that is horribly uncomfortable. Day three my feet were in a lot of pain as the blisters were a day old (that’s the worse) it was quite uncomfortable for me to walk in them as they were just affecting the blistered areas. Last day i would ever wear this horrible boot, i started the day with 4 blisters on one foot and 5 on the other. The only good thing about this boot is it kind of looks cool other then that i wouldn’t recommend to anyone. I’ll stick with my danners.
---
Made me get cálices on my toes and they still hurt.. Made my toes hurt"
23,Shoes / Durability & Quality Issues,"shoes, shoe, quality, pair, good, sole, used, box, new, worn",75,0.97,"Not well made. Sole started coming apart after occasional wearing if a month.  Very disappointed.  My last Huaraches from Sketchers lasted for 3 years.  Unfortunately they don’t make them anymore
---
No longer good!!! Don't buy!. No longer good!<br />I thought I was going crazy, because I had been wearing these shoes for years and years and loved them, always had a pair or sometimes two handy for when the old pair's life was ending, and suddenly the same size didn't fit at all and my feet got extremely smelly and sweaty while wearing them. My old pair still fit and so did other shoes, so it had to be the shoes. But reading these reviews I know that it isn't me... Do not buy these shoes! Bad about this website: I was just chatting with an employee to ask about this issue before reading theses reviews and he told me that nothing changed when I literally asked about it. So that is no way to treat a customer, it's basically a lie... They should be honest about this change, they cheapened the production, making this a bad shoe, not what you could get before.<br />To top it off, I sent in this review at the Reebok website before and it was turned down for not meeting their standards. I checked, nope, it's up to standard alright. I guess Reebok is not into honest criticism? So submitting this review to amazon and other places now, I mean I took the time to write it...
---
Arrived used. used and obviously worn! Ordered size 8, shoe clearly says 6 on bottom. Box destroyed.......so disappointed and disgusted as this was a present."
24,Positive / Satisfaction / Quality,"good, quality, great, fit, product, love, price, fits, perfect, buy",215,0.97,"Don’t Buy. Not at as expected
---
It is not the article for which I offer. I was very disappointed in the product, a different model was sent to the one in the photo. It also has detail that shows that it is not a first class product, and the waiting time was excessively long.
---
they are falling apart!! Wouldn’t recommend them to anyone!!. Very disappointed, I’ve worn these only four times and they are falling apart! Not even six months old!! Wouldn’t recommend them to anyone!!"
25,Unknown,"cute, tags, luggage, tag, nice, durable, easily, use, cute tags, falls",36,1.0,"Not what is pictured!. I am extremely disappointed with my purchase. I ordered the Star Wars luggage tags and they are not what is pictured. First off, the strap that holds them is not black. The packaging is not the same. The one advertised is branded while the one I received just says &#34;Luggage Tag&#34; on a basic brown cardboard and it doesn't have the design shown. The BB-8 tag is not BB-8. The head is completely different than what is shown and the colors are way off. Kylo Ren's lightsaber is crooked and details on his helmet are not the same. The same thing with R2, colors, and details are completely off from what is shown. I was so excited for these and now I'm​ returning them.
---
Fell off with first use. These are darling, but despite my making sure the tags were secured on our suitcases the bands holding them are still flimsy enough that we lost one the first time we used them flying. So, these are not worth spending money on.
---
Does not hold up while traveling. I bought this for our trip to Disney. We used all four and when we got our luggage from the airport two of them were gone. The strap was still in tact but no character on either of them. Super disappointed! My little one really loved these. Would not recommend if they are going to break that easily."
26,Work / Durability / Fit,"boots, boot, br, great, good, comfortable, work, like, size, quality",155,0.94,"Deteriorating souls.. [[VIDEOID:ecd6a64655435af392971e48d55a2d05]] This is my second pair. At the end of about 5 months wearing the boots the soul came apart. The hills disintegrated. I gave them the benefit of the doubt for the second pair. The booty self I've never had a fit so nicely. No blisters on my hill. But the most important part is after about 5 months the souls are no good. I'll never buy wolverines again.
---
Dissapionted. This was my first pair of Thorogood boot and within 1 week of use on the construction site the sole began to seperate from the boot at the toe. i have never seen this happen with any other brand of boot. It could just be band luck but just putting this up to help out.
---
Bad design. The problem I had seem to be a common one. The eyelid on the tongue inside of the boot was hurting my ankle. Other than that the boot fit was fabulous. I wish I could’ve kept them but I didn’t want to alter the boot and slice the tongue I paid too much money for the boot to have to do that."
27,Unknown,"size, shrunk, shrink, fit, dryer, shrinkage, wash, socks, washed, like",15,1.0,"Tight Fit and then they shrink on top of that.. I was hoping this would be the answer to wool socks.  I wear size 12.  Bought XL which is up to size 15 and expected them to fit good.  First time wearing they were tight to get on.  Then they shrunk in cold wash and air dry.  Very displeased.  Buyer beware !
---
They shrink badly.. I would not buy this product again.  I wear a size 11 shoe and ordered large.  After a few months, they would not fit.  I might have ordered more if they had an X-Large size, but they do not.  Very poor.
---
They expand when washed. This is the large sock on top is the unwashed sock on the bottom is the washed sock. I washed the socks as recommended and it expanded by 2 inches."
28,Unknown,"size, fit, does, does fit, small, shoe, size does, fit size, socks, fits",17,0.94,"One size does not fit all.. Too small!
---
This are HUGE!!. The listing says one size but the packaging says size 9-11 and I'm pretty sure it's for Men's too. I have size 6.5 feet in Women's. These will never fit me. I gave them to my boyfriend instead because returning something like this is such a hassle. Disappointed the product did not match the description.
---
The website listed ""one size"" which is false. They were huge.  The website listed ""one size women's socks"" and when I received them they were labeled size ""9-11"".  Being a size 6/7 they were way too big."
29,Shoes / Comfort & Satisfaction,"shoes, shoe, great, comfortable, good, love, fit, wear, price, great shoe",58,1.0,"Wouldn't do it.. The shoe is just cheap looking, didn't like it at all
---
Lovely made shoe, too stiff for me.. Just too tight all around. My feet are too sensitive for such a rigid shoe. I love the look of them, just like what my Mom used to wear.
---
I didn't like these shoes and returned them.. I returned these shoes. I didn't like the fit."
30,Unknown,"comfortable, comfort, wear, comfy, comfort comfortable, buy, comfortable buy, little, great, comfortable little",16,0.81,"Not very much 'room in the rear'. Size purchased was as recommended. I'm on the heavier side and bought the appropriate size for me. Material is sturdy for the price (not as soft as some others but its a 5 pack so I had reasonable expectations). When putting the briefs on after washing, I noticed that although they were appropriately supportive and sized in the front, for individuals such as myself who need a little more room in the rear, it was lacking. It left me feeling them situate weirdly to try and compensate. Overall likely won't be wearing. Unfortunate.
---
Otherwise comfortable.. A little small in the ankle. Otherwise comfortable .
---
Comfort. It’s a bit tight but hoping it will break in with wear."
31,Unknown,"uncomfortable, comfortable, uncomfortable uncomfortable, sandal, foot, boot, husband, feels, boots, br",26,0.96,"Wouldn’t recou. Rey uncomfortable
---
Very uncomfortable. Very uncomfortable. They feel like bricks on your feet. I went a side up and extra wide and still tight.<br />We will she how they hold up to crane mechanics work and update review. But never again just on comfort wise do not recommend
---
Uncomfortable. Legit feels like you are wearing wood blocks. Would not recommend."
32,Unknown,"socks, wear, pair, lasted, worn, great, years, br, winter, year",18,0.94,"HEELS RIP OUT .. all 4 pairs. these socks are comfortable.. but the heel has ripped out of all 4 pair i got.  I normally buy smart wools..  the feel great otherwise but have holes in the heel and ball of foot...  didint last but a few months..  quality is SUB par for sure.  maybe if u have 30 pair and almost never wear them they will be fine.
---
Wear out in just one winter. I have socks that I can't even remember when I bought them and they are still holding strong. It usually takes many years of heavy use for good socks to wear out. I have holes in all of these in less than a year (which only includes winter use).
---
Lasted less than 6 months :(. I bought these for my husband in February based on great reviews. We live in a cool climate and he wears wool socks daily. He loved these socks! Within a few washes one pair had holes on each toe seam that were clearly a manufacturing defect. I set the pair aside to return them and forgot about them. Within a couple months I noticed that the ball of each remaining sock was wearing through. Now at the end of July every sock from my order either has a gaping hole or is threadbare. I'm pretty surprised! These were great while they lasted, but I really expected more out of them. Its back to Kirkland wool blend trail socks, which is a shame because these were so squishy and great when new, and I thought we'd found THE socks."
33,Unknown,"socks, holes, hole, sock, quality, pair, wear, wearing, months, just",38,0.95,"Don't Last. Great socks! Keeps my feet nice and toasty. Much warmer than just regular socks. Great colors too.<br />------------------<br />Update: these don't last. They didn't even last the full season. Got holes in heels and forefoot.  I bought these a year ago and had one pair left that didn't have a hole yet.  After wearing it a few times the last pair also developed holes. Photo posted of my last pair with small holes (they get big fast if you wear them) I only wore them indoors.
---
Holy molly. First pair I wore had a hole in it after one use.
---
Not a good sock. Puchased a package and developed holes is .... Not a good sock. Puchased a package and developed holes is the heel and ball of the foot area in a short period of time. I only wear them in the winter around the house. Once every pair developed holes, I thought I would give them a second chance and I purchased another package. The second purchase developed holes in the same area only after a few wearings. There will not be a third chance."
34,Unknown,"tight, socks, ankles, long, ankle, socks tight, tight ankle, long socks, calves, calf",24,1.0,"Too tight. These socks are extremely tight around the ankles (and this is coming from someone who has pretty skinny ankles).  They're tight to a point of being very uncomfortable; would not recommend.
---
tight toes. love the style but my toes fall asleep if i wear longer than two hours
---
Way too tight!. Socks are good quality but way too tight! They choke out my calves, I have to wear around ankles."
35,Unknown,"size, fit, shorts, small, nice, ordered, like, stretch, levi, true",31,0.87,"Only buy if you have no behind or hips. This was the biggest disappointment and Jean shorts they’re old-school denim so there is absolutely zero stretch and they are cut for a woman that has absolutely no shape I bought the largest size just because I like them to hang low on my hips and it still it had no give they were uncomfortable stiff I don’t envy wearing jeans like we did back in the day but these will make you feel like it very disappointment for  Levi’s
---
Eh. Poor quality. Seems like these are just damaged jeans turned into shorts...seams ripped and cut poorly
---
elastic band way too small.. these are too large all over but the elastic band is WAY too small. it looks cheap especially after cutting it to length. i would have returned it but the return shipping was almost more than the cost of the shorts."
36,Shoes / Fit & Width Issues,"wide, narrow, shoes, shoe, ordered, tight, size, width, feet, toe",73,0.92,"Even the larger size is too narrow & painfully tight. Too small. I usually wear 8.5 W so I ordered a 9 per the reviews. They were kind of hard to get on (definitely needed to use both hands to pull the back over my heel) and once they were on they were too long in the toe and so tight and pinching my feet feel throbbing in pain within minutes! Would not recommend for wide feet!
---
Not Set is that. I ordered Wide but they were very Tight
---
Not what I ordered. I ordered wide side and got regular. They hurt my fit so I just put them on site and will buy from another better place"
37,Unknown,"size, small, shoes, shoe, wear, run, ordered, fit, run small, like",52,0.92,"The sizes run really small. I wear a 7 I should have 7.5 or maybe an 8 long story short order a size up
---
This shoe runs smaller than usual, as this is the size i always wear. I didn’t wear these because they were too small
---
11.5 more like 9.5 really small. I bought 11.5,my feet are still pissed at me.My feet haven't grown in years .Shoes are not sized well"
38,Unknown,"big, small, size, way, long, wrong, wrong size, big big, way small, like",37,0.97,"Too big. At least 2 sizes too big for the small. And there is no xsmall
---
Size. Too small
---
Too small. Way too small and very heavy!"
39,Unknown,"small, runs, runs small, big, size, great, runs big, runs size, size small, small runs",20,1.0,"Runs small. Very narrow,
---
Sizing is off. Run very small
---
Runs big. I didn’t care for it at all it was so big and stretchy."
40,Unknown,"small, size, big, fit, little, true, small fit, small size, size small, bit",20,0.95,"Not true to size. Way to small
---
Glove size. Much too small across knuckles. Had the same pair in medium previously and perfect.
---
Extremely large. Ordered a large and it was way to big. It went almost down to my knees."
41,Unknown,"socks, feet, sweaty, like, sweat, wool, sweaty feet, great, feet sweat, don",20,0.9,"Just buy 2 pairs of sweat socks instead!. Got theses sock as a gift and the soles of all 4 pairs of socks wore out in less than a month, horrible!
---
Sweat like pig!. After hearing all the great things about merino wool I bought these socks and have had the most sweaty feet I've ever had in my life.
---
Do not regulate heat or sweat. I have had these for about 6 weeks. Disappointed. They do not regulate heat or sweat. Use for hiking and everyday wear. On my last big hike in February my feet stayed soaked all day, eventually gave me a nasty case of athletes foot.  Even daily light duty work use, my feet sweat and are moist. To late to return them, otherwise I would."
42,Unknown,"socks, br, quality, bought, hue, ordered, br br, ones, sock, new",37,0.92,"Quality Change?. I first ordered People Socks in Jan 2020.  They were amazing - super soft and comfortable.  I placed two more orders in the next month.<br /><br />As I have basically lived in these socks through COVID they have become a little scratchy.  I didn't realize that its not the best approach to dry them in the dryer. as it changes the character of the fabric.  So, I ordered more.<br /><br />The new socks arrived yesterday and they just aren't the same quality as they were less than a year ago.  They are tight.  They are not overly soft.  I will not order again.
---
Poor quality from Hue. The quality of these socks is not good. After 3 washings they no longer have the ability to stay where they are supposed to be. These socks become loose and the heel will end up by the ball of your foot after 5 minutes of walking. Go to the store and buy the cheapest socks you can find. You'll be just as happy with you socks.
---
Waste of money!!!. I got four pairs of three of the patterns. Seriously such a rip off. False advertising, too."
43,Unknown,"socks, merino, wool, merino wool, great, wool socks, just, sock, br, wear",17,1.0,"Don't Waste Your Money!. These socks are extremely itchy. There is no way this is Merino wool! The socks are also way too big. I wear a 9.5 and my feet are sliding around in them. (Will definitely cause a blister if I try to hike in them.) And, the socks are already falling down, this is the first time wearing them. Don't waste your money!
---
These socks are pretty mediocre compared to the wigwam brand of merino wool .... These socks are pretty mediocre compared to the wigwam brand of merino wool socks. These are thin and just don't last
---
They seem nice at 1st. They seem nice at 1st, but they just don't have the longevity of other merino wool socks I own. All of them wore out in the heel, while remaining fine everywhere else, must be the type of stiching, as I assume all merino wool is created more or less equal. Won't be buying these again. Spend more on Smartwool or Wigwam, they'll last much much longer."
44,Unknown,"socks, br, wear, pair, sock, better, new, people, br br, good",16,0.75,"Not Worth The Savings. As many people here, I bought a set of People Socks based on reviews.  I got the sense I was buying high-quality American-made lower-cost socks and was willing to try them out.  I only wear them a couple months of the year, and mostly weekends, so they don't get heavy use.  Out of the box People Socks seem decent, and I liked them so much I bought another set the following year.  HERE'S THE PROBLEM:<br /><br />In 2011, I bought a few Wigwam socks.  See link below.  They're pricey, hence my next purchases:<br />2013: Bought a set of People Socks<br />2014: Bought that second set of People Socks I mentioned earlier.<br /><br />It's 2016, and guess what: as I write this review, I am wearing a pair of my original Wigwams.  ALL of the People Socks I've purchased have worn through the foot and I've thrown them away.  By my math I get three times the wear for only twice the cost.  I'm not saying you should run out and buy Wigwams, but I CAN tell you that sometimes quality IS better than quantity.<br /><br />[[ASIN:B000TA74IM Wigwam Men's Hiking/Outdoor Pro Length Sock, Charcoal, Large]]<br /><br />Bonus: People Socks pill like nobody's business.  Wigwams don't.  Though this really only seems to be an aesthetic problem, and they mention it on the PS page, but it's worth mentioning.
---
Super warm, comfortable socks - They lasted through only TWO wearings!. These socks are incredibly comfortable. I'd say they're right up there with the best socks ever. Why only one star? They ripped completely across the toe seam after only two wearings! Do these socks have some kind of warranty? $17 a pair and they self-destruct after less than a few weeks.<br /><br />FOLLOWUP: I contacted Wigwam socks directly and here is their reply: ""Guruka, please accept our apologies. A replacement pair of socks will be sent. At times a stitch may be missed when the machine knits the toe closing which offers the most comfortable toe seam. Your order number is... Wishing you a safe and healthy holiday. Wigwam.com Customer Service""<br /><br />So they do stand behind their product.
---
What a disappointment!. I had a pair of Wigwam socks for the last 10 years that I absolutely loved.  They finally got holes in them so I needed a new pair.  Obviously, being so happy with the last pair, I immediately searched for and purchased new Wigwam socks!  What a disappointment these new socks are compared to the old ones.  They don't fit well (way too tight around the calf, and too loose around the foot)(and I have size 13 wide feet), they're much thinner material than the old ones, and they constantly slip down (floppy toe every time you take your shoes off).  I wish I could've returned both pairs but I washed one to see if it got better.  Spoiler: it didn't."
45,Socks / Fit & Comfort,"socks, size, large, feet, small, fit, wear, br, great, shoe",56,0.98,"Too big. These socks came in one size fits all. Way too big for my daughters 6 1/2 size foot.
---
too small, cold. I bought these on someone else’s recommendation and I have size 11 feet so I was wary of socks being too small and ending up stretching till they’re cold. This is exactly what these socks do even though they’re listed as size 9-11. too small, too cold, cheapskate shysters must make these.
---
Too large. These socks were way too large."
46,Unknown,"socks, tight, great, size, decent, wear, sock, small, fit, decent socks",15,0.93,"Not much sock for the price. They are really low-cut, to the point that you can really only wear them with some very low-cut shoes or else you will get blisters. They barely fit me and I wear a size 11 US usually.
---
Well made socks but very tight. Wigwam has a great reputation, but the ""calves"" of these socks are really tight if you have heavy (thick) calves.  I bought them because I've had wonderful Wigwam socks in the past, but gave them away because they were much too tight around the calves.
---
medium so far .Downgraded TO POOR-.6-17-2014. They do not wear well.<br />By 6-17-2014 most were worn out at the heel.<br />I found a Merino 70% blend for 3 pairs at $8 at our local discount outlet.These wear much better.<br />I had bought these before and the Peoples Socks were a poor replacement when the ""OFF BRAND"" became unavailable.<br />I do not recommend the Peoples SOcks."
47,Unknown,"socks, comfortable, sock, comfortable socks, golf, great, wear, owned, best, love",16,1.0,"Easter socks!. I purchased these socks as a Christmas gift. More than half the socks I received were Easter socks. Maybe 1 or 2 out of the 12 were a regular cute design. If you love Easter and want to wear them all year long these are for you!
---
Hiking Socks. I liked the substantial feel of the material. Definitely will keep my feet warm.
---
Golf Socks, for you?. I found these too off white for me and I bought an extra large, which is my size and they were too small.  Love to find a great wool short golf sock."
48,Unknown,"warm, socks, comfortable, br, feet, soft, great, warm comfortable, wear, ok",39,0.95,"It's very hot and your feet feel like jungle rot after a good 12 hour shift. This boot does not breath.  It's very hot and your feet feel like jungle rot after a good 12 hour shift.
---
Just ok.... Just ok socks, could definitely be warmer. I much prefer Darn Tough.
---
Items were described as fleece lined; they are not. Thin, polyester.. I ordered the thermal underwear for my child to wear under her Halloween costume. Since there isn't time to return them before then, I will keep them. I will see if they provide any warmth. However, both the description and the packaging said ""fleece-lined"" and that is simply not true. I did not get what I expected."
